step,x,y,h
1,4.072453488353326e-15,-4.719399086760354e-16,5.438238314414931e-18
2,4.53718978252487e-12,-3.3615269127375945e-11,-0.02821400525937782
3,-7.683482701331906e-13,-7.999101507496616e-11,-0.05643973500914482
4,-1.5560225128780664e-11,-1.2189028548364936e-10,-0.08466874820057824
5,-3.929961454683396e-11,-1.555701506737016e-10,-0.11289743088762619
6,1.2776195875848892e-07,-6.614819765210978e-10,-0.1411641710220576
7,4.374368425118449e-07,-3.277964783714713e-09,-0.16946735163254167
8,9.299651939577822e-07,-9.344832893552878e-09,-0.19777603456642398
9,1.5979608529432754e-06,-1.931721255485454e-08,-0.22608010617551094
10,2.434749213114338e-06,-3.2618745976714906e-08,-0.2543766905173711
11,3.4428789480560414e-06,-4.783576538304045e-08,-0.282665513774702
12,4.639228279649213e-06,-6.317871424019344e-08,-0.3109471901628719
13,6.055124242004904e-06,-7.705117989928954e-08,-0.3392225656222487
14,7.63287823760289e-06,-8.837056792144832e-08,-0.36749247253890643
15,9.095080632086237e-06,-9.4729496237105e-08,-0.395757645408543
16,1.0454031429525784e-05,-9.364663478234539e-08,-0.4240187047045015
17,1.1723190529954589e-05,-8.460344798853484e-08,-0.45227616677791493
18,1.2913109318519699e-05,-6.910221127519066e-08,-0.48053045815527695
19,1.4031691807775225e-05,-5.0235628725654054e-08,-0.5087819316715314
20,1.508470014397476e-05,-3.189485981509033e-08,-0.5370308807081128
21,1.6076443909307306e-05,-1.7813234522830005e-08,-0.5652775509884833
22,1.701054957299149e-05,-1.0677899733938447e-08,-0.5935221500881355
23,1.7890673053111616e-05,-1.151938985745322e-08,-0.6217648549830638
24,1.8721014793559192e-05,-1.9516376243396044e-08,-0.6500058179410044
25,1.9506530290048133e-05,-3.224867934086158e-08,-0.6782451710424541
26,2.0252794192945873e-05,-4.632238528914987e-08,-0.7064830296397684
27,2.096555793761845e-05,-5.820355960957046e-08,-0.7347194950743848
28,2.1650118158039205e-05,-6.505236794759347e-08,-0.7629546569092518
29,2.2310665196126007e-05,-6.535709319934085e-08,-0.7911885948079355
30,2.294979248113434e-05,-5.922393391148781e-08,-0.8194213800765101
31,2.3568313297184662e-05,-4.826801131447716e-08,-0.8476530768552825
